complaint_id,complaint_title,complaint_description,source,sector_id,category,sub_category,priority,urgency_score,created_at,resolved_at,status,resolution_time_days,assigned_department,assigned_officer,citizen_satisfaction,latitude,longitude,resolution_notes
GRV-2025-00011,Congestion Near School issue in Sector 23,Wrong-side driving is rampant near Sector 23 market. No traffic police present.,Mobile App,SEC-23,Traffic,Congestion Near School,P1-Critical,0.93,2025-10-14T10:10:42,2025-10-16T20:10:42,Resolved,2,Traffic Police Chandigarh,ASI Manjit,4,30.70227,76.743637,Signal repaired
GRV-2025-00012,No Power Since Morning issue in Sector 20,The electricity bill for Sector 20 house 526 is 3x higher than usual this month with no change in usage.,Voice Call,SEC-20,Electricity,No Power Since Morning,P4-Low,0.07,2025-12-18T18:19:29,,Pending,,CPDL / Chandigarh Electricity Department,Rajesh Pal,,30.705838,76.744793,
GRV-2025-00013,Meter Reading Error issue in Sector 26,The water supply pipe near Sector 26 rose garden has been leaking for 7 days. A large amount of water is being wasted.,Voice Call,SEC-26,Water Supply,Meter Reading Error,P3-Medium,0.33,2025-06-19T09:20:15,,Rejected,,MCC Public Health Department,Sandeep Verma,,30.737318,76.761398,
GRV-2025-00014,Sewer Line Burst issue in Sector 15,"The sewer is overflowing near house 397, Sector 15. Dirty water is spreading on the road.",Email,SEC-15,Sewerage,Sewer Line Burst,P1-Critical,0.94,2025-06-08T11:31:32,2025-06-11T19:31:32,Resolved,3,MCC Public Health Department,Gurmail Singh,3,30.707204,76.771459,Manhole cover placed
GRV-2025-00015,Setback Violated issue in Sector 19,Construction work at Sector 19 house 461 started without any visible permit. Please take immediate action as the situation is worsening.,Email,SEC-19,Building Violation,Setback Violated,P4-Low,0.0,2025-04-11T10:56:16,2025-05-11T17:56:16,Resolved,30,MCC Town Planning Department,Manpreet Singh,1,30.704093,76.784945,"Owner warned, violation removed"
GRV-2025-00016,Waterlogging on main road in Sector 37,The road in front of rose garden in Sector 37 has a Waterlogging on Road. Vehicles are getting damaged. Immediate action required.,Web Portal,SEC-37,Roads,Waterlogging on Road,P4-Low,0.12,2025-12-02T16:35:23,2025-12-18T20:35:23,Resolved,16,MCC Engineering Department,Jagtar Singh,4,30.740006,76.743624,Manhole cover replaced
GRV-2025-00017,Illegal Stall issue in Sector 44,A private party has started construction on what appears to be a public park in Sector 44.,Web Portal,SEC-44,Encroachment,Illegal Stall,P4-Low,0.3,2025-12-09T15:37:21,,Rejected,,MCC Town Planning Department,Rajdeep Kaur,,30.740585,76.780777,
GRV-2025-00018,Sewage Smell issue in Sector 44,"The drain near bank branch, Sector 44 has not been cleaned for months. It is completely blocked.",Email,SEC-44,Sewerage,Sewage Smell,P3-Medium,0.45,2025-07-07T13:46:03,2025-07-28T21:46:03,Resolved,21,MCC Public Health Department,Amarjit Kaur,4,30.757695,76.801968,Sewer line repaired
GRV-2025-00019,Manhole Cover Missing issue in Sector 15,"The sewer is overflowing near house 686, Sector 15. Dirty water is spreading on the road.",Web Portal,SEC-15,Sewerage,Manhole Cover Missing,P4-Low,0.21,2025-08-06T21:55:54,2025-08-17T09:55:54,Resolved,10,MCC Public Health Department,Paramjit Kaur,4,30.744871,76.81985,Sewer line repaired
GRV-2025-00020,Waste Near Park issue in Sector 36,"A large garbage dump has appeared near bank branch, Sector 36. Dogs and stray animals are digging through it.",Web Portal,SEC-36,Garbage/Sanitation,Waste Near Park,P4-Low,0.29,2025-05-28T15:14:19,2025-06-23T03:14:19,Resolved,25,MCC Public Health Department,Sandeep Verma,4,30.73912,76.778384,Dustbin replaced
GRV-2025-00021,Industrial Machine Noise issue in Sector 52,Firecrackers are being burst in Sector 52 every night despite the ban. Action needed.,Web Portal,SEC-52,Noise Pollution,Industrial Machine Noise,P4-Low,0.01,2026-02-25T08:22:59,2026-03-20T18:00:00,Resolved,35,Chandigarh Police,ASI Gurpreet,4,30.717119,76.806236,Complaint registered
GRV-2025-00022,No Light in Lane issue in Sector 37,The streetlight near house 211 in Sector 37 is flickering and creating nuisance at night.,WhatsApp,SEC-37,Streetlights,No Light in Lane,P4-Low,0.03,2025-07-05T21:06:43,,Pending,,CPDL / Chandigarh Electricity Department,Er. Hardeep Kaur,,30.761661,76.740415,
GRV-2025-00023,Stinky Garbage issue in Sector 15,No sanitation worker has been assigned to our lane in Sector 15 for 9 days despite repeated calls to the helpline.,Mobile App,SEC-15,Garbage/Sanitation,Stinky Garbage,P3-Medium,0.36,2025-11-14T07:58:58,2025-11-22T14:58:58,Resolved,8,MCC Public Health Department,Sandeep Verma,5,30.702907,76.806896,Dustbin replaced
GRV-2025-00024,Wall Extension on Road issue in Sector 16,A shop owner near Sector 16 market has encroached upon the public footpath. Pedestrians have no space to walk.,Web Portal,SEC-16,Encroachment,Wall Extension on Road,P2-High,0.68,2026-02-05T10:54:32,2026-02-09T15:54:32,Resolved,4,MCC Town Planning Department,Rajdeep Kaur,4,30.726455,76.79849,Notice issued to occupant
GRV-2025-00025,Speed breaker missing near school in Sector 44,"There is a large Speed Breaker Missing near house no. 854, Sector 44. Please take immediate action as the situation is worsening. Please repair urgently.",Web Portal,SEC-44,Roads,Speed Breaker Missing,P3-Medium,0.38,2025-08-04T09:11:08,2025-08-22T15:11:08,Resolved,18,MCC Engineering Department,Er. Sukhwinder Kaur,1,30.730686,76.775739,Road resurfacing completed
GRV-2025-00026,Grass Not Cut issue in Sector 23,There is no drinking water facility in the Sector 23 park. It should be provided urgently.,WhatsApp,SEC-23,Parks/Trees,Grass Not Cut,P2-High,0.63,2025-08-03T22:59:57,,Pending,,MCC Horticulture Department,Jasveer Singh,,30.771024,76.801587,
GRV-2025-00027,Overflowing Dustbin issue in Sector 40,"A large garbage dump has appeared near sector park, Sector 40. Dogs and stray animals are digging through it.",Mobile App,SEC-40,Garbage/Sanitation,Overflowing Dustbin,P2-High,0.78,2025-11-23T12:48:15,,Pending,,MCC Public Health Department,Raju Kumar,,30.754427,76.787665,
GRV-2025-00028,Overflowing Dustbin issue in Sector 36,The area near Sector 36 Phase A park has become an illegal garbage dump point. Multiple neighbors have also complained.,Mobile App,SEC-36,Garbage/Sanitation,Overflowing Dustbin,P4-Low,0.1,2025-07-31T09:43:13,,In Progress,,MCC Public Health Department,Sandeep Verma,,30.757353,76.779106,
GRV-2025-00029,Stinky Garbage issue in Sector 30,Dead dog near Sector 30 Sector 29 Chowk has not been removed for 10 days. Spreading disease risk.,Mobile App,SEC-30,Garbage/Sanitation,Stinky Garbage,P3-Medium,0.36,2025-03-02T12:37:04,2025-03-06T19:37:04,Resolved,4,MCC Public Health Department,Gurmail Singh,4,30.743293,76.74482,Regular sweeping resumed
GRV-2025-00030,Choked Drain issue in Sector 33,"The drain near petrol pump, Sector 33 has not been cleaned for months. It is completely blocked.",Web Portal,SEC-33,Sewerage,Choked Drain,P4-Low,0.11,2025-10-05T10:41:55,2025-11-03T12:41:55,Resolved,29,MCC Public Health Department,Gurmail Singh,5,30.731445,76.750188,Sewer line repaired
GRV-2025-00031,Water Pipe Leakage issue in Manimajra,There is no water supply in Manimajra since 9 days. Residents are facing severe hardship.,Web Portal,MNJ,Water Supply,Water Pipe Leakage,P2-High,0.64,2025-06-01T09:02:51,2025-06-07T16:02:51,Resolved,6,MCC Public Health Department,Gurmail Singh,4,30.770701,76.741252,Pressure restored after maintenance
GRV-2025-00032,Sewer Line Burst issue in Sector 9,"The drain outside house 134, Sector 9 has been blocked for 9 days causing stagnant water.",Web Portal,SEC-09,Sewerage,Sewer Line Burst,P4-Low,0.16,2025-11-11T07:08:32,2025-12-06T11:08:32,Resolved,25,MCC Public Health Department,Gurmail Singh,4,30.746198,76.801803,Pipe replaced
GRV-2025-00033,Bin Not Emptied issue in Sector 19,People have started dumping garbage on the road near Sector 19 Phase C as there is no proper bin.,Mobile App,SEC-19,Garbage/Sanitation,Bin Not Emptied,P3-Medium,0.42,2026-03-06T18:50:33,,Rejected,,MCC Public Health Department,Raju Kumar,,30.725499,76.773306,
GRV-2025-00034,"Broken footpath, risk to pedestrians in Sector 22","Since past 10 days, a Broken Footpath has been causing accidents in Sector 22 near government school. Two-wheelers are at risk.",WhatsApp,SEC-22,Roads,Broken Footpath,P3-Medium,0.44,2026-03-03T22:08:24,,Rejected,,MCC Engineering Department,Er. Parveen Kumar,,30.719429,76.756267,
GRV-2025-00035,Overflowing Dustbin issue in Sector 30,The community dustbin near government school in Sector 30 is overflowing and stinking. Area residents are suffering.,WhatsApp,SEC-30,Garbage/Sanitation,Overflowing Dustbin,P2-High,0.75,2025-09-02T12:30:13,2025-09-09T18:30:13,Resolved,7,MCC Public Health Department,Raju Kumar,5,30.701227,76.814973,Regular sweeping resumed
GRV-2025-00036,Severe road damage near market in Sector 46,Road Damage has developed near the main market of Sector 46. It is creating problems for daily commuters and shopkeepers.,WhatsApp,SEC-46,Roads,Road Damage,P4-Low,0.14,2025-09-25T15:16:23,,Rejected,,MCC Engineering Department,Er. Parveen Kumar,,30.741025,76.779782,
GRV-2025-00037,Frequent Tripping issue in Sector 53,"Our electricity meter was found tampered and we received an inflated bill. House 308, Sector 53.",Web Portal,SEC-53,Electricity,Frequent Tripping,P4-Low,0.08,2026-02-16T19:18:09,,Rejected,,CPDL / Chandigarh Electricity Department,SDO Pankaj,,30.715695,76.758401,
GRV-2025-00038,Flyover structure showing damage in Manimajra,The Flyover Damage near Sector 17 chowk has been unattended for 12 days. Please take immediate action.,Voice Call,MNJ,Roads,Flyover Damage,P2-High,0.59,2025-12-02T11:08:46,,Pending,,MCC Engineering Department,Er. Sukhwinder Kaur,,30.743724,76.754724,
GRV-2025-00039,Stinky Garbage issue in Sector 41,The area near Sector 41 Phase A park has become an illegal garbage dump point. Multiple neighbors have also complained.,Walk-in,SEC-41,Garbage/Sanitation,Stinky Garbage,P2-High,0.57,2025-04-24T12:32:29,,Escalated,,MCC Public Health Department,Gurmail Singh,,30.729856,76.789427,
GRV-2025-00040,Water Logging issue in Sector 34,There is no water supply in Sector 34 since 10 days. Residents are facing severe hardship.,Voice Call,SEC-34,Water Supply,Water Logging,P4-Low,0.15,2025-09-29T19:51:58,2025-10-17T21:51:58,Resolved,18,MCC Public Health Department,Sandeep Verma,4,30.719278,76.789582,Water supply restored after valve repair
GRV-2025-00041,Building on Green Belt issue in Sector 55,"The roof of house 914 in Sector 55 is jutting out on the public road, posing danger.",Voice Call,SEC-55,Encroachment,Building on Green Belt,P2-High,0.72,2026-01-20T07:05:25,2026-01-24T14:05:25,Resolved,4,MCC Town Planning Department,Rajdeep Kaur,3,30.75094,76.796228,Action taken against violator
GRV-2025-00042,Choked Drain issue in Sector 35,Effluent from the nearby drain is flowing into the park in Sector 35. Park is unusable now.,WhatsApp,SEC-35,Sewerage,Choked Drain,P3-Medium,0.53,2025-10-06T14:57:34,2025-10-28T01:57:34,Resolved,21,MCC Public Health Department,Sandeep Verma,3,30.768034,76.741253,Drain desilted and cleared
GRV-2025-00043,Water Pipe Leakage issue in Sector 38,Water meter at house 178 in Sector 38 is showing incorrect reading. Bill is very high.,Mobile App,SEC-38,Water Supply,Water Pipe Leakage,P2-High,0.74,2025-05-07T08:32:47,,Rejected,,MCC Public Health Department,Paramjit Kaur,,30.777946,76.744296,
GRV-2025-00044,Manhole Cover Missing issue in Sector 18,Sewage water is flowing onto the main road of Sector 18 due to overflowing drains. Vehicles are splashing it.,Mobile App,SEC-18,Sewerage,Manhole Cover Missing,P3-Medium,0.42,2025-07-26T18:27:11,2025-08-17T05:27:11,Resolved,21,MCC Public Health Department,Gurmail Singh,2,30.749489,76.803844,Drainage unblocked using jet machine
GRV-2025-00045,Wrong Side Driving issue in Sector 11,The parking outside petrol pump in Sector 11 is chaotic. Vehicles are blocking traffic.,Mobile App,SEC-11,Traffic,Wrong Side Driving,P4-Low,0.28,2025-08-18T14:06:08,2025-08-30T17:06:08,Resolved,12,Traffic Police Chandigarh,ASI Manjit,3,30.744379,76.772644,Parking zone demarcated
GRV-2025-00046,No Water Supply issue in Sector 11,Residents of Sector 11 have been complaining about contaminated water for a week. This has been reported before but no action was taken.,Voice Call,SEC-11,Water Supply,No Water Supply,P3-Medium,0.48,2025-07-25T13:36:33,,Escalated,,MCC Public Health Department,Raju Kumar,,30.713567,76.770459,
GRV-2025-00047,Contaminated Water issue in Sector 21,The water supply tanker has not visited Sector 21 for 4 days despite repeated requests.,Voice Call,SEC-21,Water Supply,Contaminated Water,P4-Low,0.11,2026-02-16T21:38:39,2026-03-08T05:38:39,Resolved,19,MCC Public Health Department,Raju Kumar,2,30.700541,76.771655,Water supply restored after valve repair
GRV-2025-00048,Light Post Fallen issue in Sector 25,A high-tension wire near the streetlight pole in Sector 25 is dangling. Major electrocution risk.,Voice Call,SEC-25,Streetlights,Light Post Fallen,P3-Medium,0.34,2025-07-31T16:18:47,2025-08-19T02:18:47,Resolved,18,CPDL / Chandigarh Electricity Department,Er. Hardeep Kaur,3,30.722424,76.802869,Underground cable repaired
GRV-2025-00049,Sewage on Road issue in Sector 12,Sewer line has burst in lane E of Sector 12. Sewage water is entering homes.,WhatsApp,SEC-12,Sewerage,Sewage on Road,P3-Medium,0.51,2025-04-06T19:43:31,2025-04-14T06:43:31,Resolved,7,MCC Public Health Department,Amarjit Kaur,3,30.752693,76.797219,Manhole cover placed
GRV-2025-00050,Manhole Cover Missing issue in Sector 10,"The drain outside house 590, Sector 10 has been blocked for 11 days causing stagnant water.",Mobile App,SEC-10,Sewerage,Manhole Cover Missing,P3-Medium,0.49,2025-09-27T17:10:41,2025-10-02T03:10:41,Resolved,4,MCC Public Health Department,Sandeep Verma,4,30.731969,76.800215,Pipe replaced
GRV-2025-00051,Road surface cracked and uneven in Sector 12,The road in front of mandir in Sector 12 has a Cracked Road Surface. Vehicles are getting damaged. Immediate action required.,Web Portal,SEC-12,Roads,Cracked Road Surface,P3-Medium,0.47,2025-05-18T06:30:06,2025-05-30T13:30:06,Resolved,12,MCC Engineering Department,Er. Harpreet Singh,2,30.775254,76.751334,Repaired using hot-mix patching
GRV-2025-00052,Dirty Water issue in Sector 23,"A major pipeline has burst near mandir in Sector 23, causing water wastage and road damage.",Mobile App,SEC-23,Water Supply,Dirty Water,P3-Medium,0.38,2025-12-02T09:01:54,2025-12-15T20:01:54,Resolved,13,MCC Public Health Department,Sandeep Verma,4,30.713148,76.818712,Water supply restored after valve repair
GRV-2025-00053,Loud Speaker issue in Sector 35,Industrial machinery noise from dispensary in Sector 35 can be heard from far away at night.,Mobile App,SEC-35,Noise Pollution,Loud Speaker,P3-Medium,0.46,2025-10-03T06:47:39,,Pending,,Chandigarh Police,HC Jaswinder Kumar,,30.770648,76.775966,
GRV-2025-00054,Short Circuit Risk issue in Sector 26,A streetlight pole near Sector 26 market has fallen due to wind. It is blocking the road and is dangerous.,Mobile App,SEC-26,Streetlights,Short Circuit Risk,P4-Low,0.06,2025-04-13T21:33:40,2025-05-11T07:33:40,Resolved,27,CPDL / Chandigarh Electricity Department,Er. Gurmeet Pal,4,30.74696,76.767834,Timer corrected
GRV-2025-00055,Missing manhole cover on road in Sector 40,"Near house number 822 in Sector 40, the footpath is broken and vehicles are using it as a parking space.",Web Portal,SEC-40,Roads,Missing Manhole Cover,P4-Low,0.09,2025-06-04T10:32:24,2025-07-07T20:32:24,Resolved,33,MCC Engineering Department,Er. Sukhwinder Kaur,4,30.733843,76.778934,Road resurfacing completed
GRV-2025-00056,Effluent in Park issue in Sector 43,Open sewage water near Sector 43 petrol pump is a major hygiene and health hazard.,Mobile App,SEC-43,Sewerage,Effluent in Park,P3-Medium,0.54,2025-08-22T12:52:24,2025-09-11T21:52:24,Resolved,20,MCC Public Health Department,Paramjit Kaur,3,30.754776,76.77325,Pipe replaced
GRV-2025-00057,Underground Cable Fault issue in Sector 35,All lights on the road near main market in Sector 35 are off. Robberies have increased due to darkness.,Web Portal,SEC-35,Streetlights,Underground Cable Fault,P3-Medium,0.5,2025-10-04T21:35:32,2025-10-11T07:35:32,Resolved,6,CPDL / Chandigarh Electricity Department,Rajesh Pal,3,30.743448,76.819271,Faulty bulb/tube replaced
GRV-2025-00058,New Connection Delay issue in Sector 56,The water supply pipe near Sector 56 government school has been leaking for 5 days. A large amount of water is being wasted.,Voice Call,SEC-56,Water Supply,New Connection Delay,P3-Medium,0.39,2025-12-05T20:55:07,2025-12-16T00:55:07,Resolved,10,MCC Public Health Department,Gurmail Singh,4,30.755131,76.808884,"Contamination addressed, chlorination done"
GRV-2025-00059,Water Logging issue in Sector 40,The water coming from the tap in Sector 40 is muddy in color and has a foul smell. Not fit for drinking.,Mobile App,SEC-40,Water Supply,Water Logging,P4-Low,0.16,2025-06-10T15:18:36,,Pending,,MCC Public Health Department,Sandeep Verma,,30.721387,76.808641,
GRV-2025-00060,Dog Bite issue in Sector 14,A pack of stray dogs in Sector 14 has been attacking residents. 7 people have been bitten in the past week.,Walk-in,SEC-14,Stray Animals,Dog Bite,P3-Medium,0.42,2025-12-03T14:40:26,2025-12-18T22:40:26,Resolved,15,Social Welfare Department Chandigarh,Jagjit Singh,4,30.77041,76.747448,"Dog squad deployed, animals shifted to shelter"
GRV-2025-00061,Effluent in Park issue in Sector 46,Sewage water is flowing onto the main road of Sector 46 due to overflowing drains. Vehicles are splashing it.,Mobile App,SEC-46,Sewerage,Effluent in Park,P2-High,0.76,2025-12-03T18:13:27,,Pending,,MCC Public Health Department,Raju Kumar,,30.765988,76.779577,
GRV-2025-00062,Market Encroachment issue in Manimajra,Illegal vendors near Manimajra market have taken over the road. The lane is now only one vehicle wide.,Web Portal,MNJ,Encroachment,Market Encroachment,P3-Medium,0.46,2026-01-16T06:07:59,2026-01-24T14:07:59,Resolved,8,MCC Town Planning Department,Rajdeep Kaur,1,30.776643,76.756185,Footpath restored
GRV-2025-00063,"Broken footpath, risk to pedestrians in Timber Market","Since past 6 days, a Broken Footpath has been causing accidents in Timber Market near community centre. Two-wheelers are at risk.",Web Portal,TMK,Roads,Broken Footpath,P3-Medium,0.46,2025-10-27T13:27:41,,Rejected,,MCC Engineering Department,Jagtar Singh,,30.707296,76.747615,
GRV-2025-00064,Sewer Line Burst issue in Sector 34,The manhole near Sector 34 market is open and is a serious danger to pedestrians and children.,Voice Call,SEC-34,Sewerage,Sewer Line Burst,P2-High,0.72,2025-08-20T13:24:05,2025-08-26T15:24:05,Resolved,6,MCC Public Health Department,Gurmail Singh,3,30.770479,76.75097,Drain desilted and cleared
GRV-2025-00065,"Broken footpath, risk to pedestrians in Sector 41",The road in front of mandir in Sector 41 has a Broken Footpath. Vehicles are getting damaged. Immediate action required.,Voice Call,SEC-41,Roads,Broken Footpath,P1-Critical,0.92,2025-08-13T12:05:57,2025-08-13T15:05:57,Resolved,0,MCC Engineering Department,Er. Sukhwinder Kaur,2,30.758401,76.768123,Drainage repaired alongside road
GRV-2025-00066,Burst Pipe issue in Sector 22,"A major pipeline has burst near sukhna lake road in Sector 22, causing water wastage and road damage.",Voice Call,SEC-22,Water Supply,Burst Pipe,P4-Low,0.16,2025-07-16T18:18:41,,Rejected,,MCC Public Health Department,Paramjit Kaur,,30.704366,76.811833,
GRV-2025-00067,Damaged Pole issue in Sector 35,All lights on the road near bus stop in Sector 35 are off. Robberies have increased due to darkness.,WhatsApp,SEC-35,Streetlights,Damaged Pole,P2-High,0.58,2026-01-25T19:23:34,,Pending,,CPDL / Chandigarh Electricity Department,SDO Pankaj,,30.754635,76.801018,
GRV-2025-00068,Choked Drain issue in Sector 3,A major drain near sukhna lake road in Sector 3 is choked. Foul smell is unbearable and mosquitoes are breeding.,Email,SEC-03,Sewerage,Choked Drain,P3-Medium,0.48,2025-04-13T10:17:05,,In Progress,,MCC Public Health Department,Amarjit Kaur,,30.724793,76.780904,
GRV-2025-00069,Parking on Footpath issue in Sector 54,Tree nursery has been illegally set up on the road margin near Sector 54 Phase C.,Mobile App,SEC-54,Encroachment,Parking on Footpath,P3-Medium,0.32,2025-08-14T20:39:38,,Pending,,MCC Town Planning Department,Manpreet Singh,,30.704402,76.793286,
GRV-2025-00070,Broken Equipment in Park issue in Sector 12,The swing and slide equipment in Sector 12 park are broken. Children are getting injured.,Web Portal,SEC-12,Parks/Trees,Broken Equipment in Park,P3-Medium,0.33,2025-12-25T14:46:56,,In Progress,,MCC Horticulture Department,Sukhdeep Kaur,,30.709445,76.811992,
GRV-2025-00071,Water Tanker Not Coming issue in Sector 54,The water supply tanker has not visited Sector 54 for 3 days despite repeated requests.,Web Portal,SEC-54,Water Supply,Water Tanker Not Coming,P4-Low,0.26,2025-05-12T11:16:49,,Rejected,,MCC Public Health Department,Sandeep Verma,,30.708232,76.785913,
GRV-2025-00072,Illegal Extension issue in Sector 18,Unauthorized construction is happening near house 979 in Sector 18. Work going on even at night.,Mobile App,SEC-18,Building Violation,Illegal Extension,P3-Medium,0.53,2026-01-24T19:14:20,,Pending,,MCC Town Planning Department,Gurpreet Sandhu,,30.719861,76.813268,
GRV-2025-00073,Bin Not Emptied issue in Sector 21,Waste from the nearby shop is regularly dumped outside house 481 in Sector 21. Please take action.,Web Portal,SEC-21,Garbage/Sanitation,Bin Not Emptied,P3-Medium,0.52,2026-01-14T15:20:05,,Rejected,,MCC Public Health Department,Gurmail Singh,,30.744247,76.740638,
GRV-2025-00074,Dog Pack in Colony issue in Sector 22,Residents of Sector 22 lane E are scared to step out at night due to aggressive stray dogs.,Mobile App,SEC-22,Stray Animals,Dog Pack in Colony,P2-High,0.55,2025-10-18T13:34:22,2025-10-25T01:34:22,Resolved,6,Social Welfare Department Chandigarh,Anita Rani,5,30.700117,76.792584,"Dog squad deployed, animals shifted to shelter"
GRV-2025-00075,Parking Chaos issue in Sector 12,"The roundabout near primary school, Sector 12 has no signage and vehicles are going in wrong directions.",Voice Call,SEC-12,Traffic,Parking Chaos,P3-Medium,0.52,2025-09-16T17:29:47,,In Progress,,Traffic Police Chandigarh,Const. Suresh Pal,,30.706792,76.747646,
GRV-2025-00076,No Traffic Police issue in Sector 40,Wrong-side driving is rampant near Sector 40 market. No traffic police present.,Mobile App,SEC-40,Traffic,No Traffic Police,P2-High,0.73,2025-12-08T16:28:17,,Pending,,Traffic Police Chandigarh,Traffic SI Harjot,,30.718689,76.815484,
GRV-2025-00077,Open Manhole issue in Sector 50,A major drain near petrol pump in Sector 50 is choked. Foul smell is unbearable and mosquitoes are breeding.,Web Portal,SEC-50,Sewerage,Open Manhole,P4-Low,0.14,2025-08-17T09:05:10,,In Progress,,MCC Public Health Department,Amarjit Kaur,,30.764608,76.764337,
GRV-2025-00078,Light Post Fallen issue in Sector 6,The streetlights in Sector 6 are switched on during the daytime and off at night. Timer needs fixing.,Web Portal,SEC-06,Streetlights,Light Post Fallen,P3-Medium,0.51,2025-05-06T18:54:28,2025-05-27T06:54:28,Resolved,20,CPDL / Chandigarh Electricity Department,Rajesh Pal,3,30.736963,76.804312,New LED light installed
GRV-2025-00079,Open Manhole issue in Sector 12,"The sewer is overflowing near house 950, Sector 12. Dirty water is spreading on the road.",WhatsApp,SEC-12,Sewerage,Open Manhole,P3-Medium,0.45,2026-02-04T08:01:04,2026-02-13T19:01:04,Resolved,9,MCC Public Health Department,Gurmail Singh,4,30.707358,76.807782,Drainage unblocked using jet machine
GRV-2025-00080,Water Tanker Not Coming issue in Sector 12,The water supply pipe near Sector 12 mandir has been leaking for 4 days. A large amount of water is being wasted.,Mobile App,SEC-12,Water Supply,Water Tanker Not Coming,P2-High,0.64,2026-01-26T14:17:28,,Pending,,MCC Public Health Department,Gurmail Singh,,30.770674,76.742772,
GRV-2025-00081,Flyover structure showing damage in Sector 39,"Near house number 402 in Sector 39, the footpath is broken and vehicles are using it as a parking space.",Web Portal,SEC-39,Roads,Flyover Damage,P4-Low,0.13,2025-09-24T22:15:40,,Pending,,MCC Engineering Department,Er. Sukhwinder Kaur,,30.779527,76.783493,
